competition,sport,competition_group,region,tier,home_team,away_team,kickoff_uk,venue,home_score,away_score,official_source
The FA WNL Cup,Football,FAWNL Cup,England,,London Bees,Real Bedford,2026-09-06 14:00,London Bees Stadium,0,4,https://wnl.thefa.com/fixtures
Adran Premier,Football,Adran Premier,Wales,,Barry Town Utd,Briton Ferry Llansawel,2026-09-06 14:00,Jenner Park Stadium,1,4,https://faw.cymru/adran-leagues/adran-premier/fixtures-and-results/
The FA WNL Cup,Football,FAWNL Cup,England,,Northampton Town,Tottenham Hotspur U21,2026-09-06 14:00,Sixfields Stadium,0,1,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Stoke City,Blackburn Rovers,2026-09-06 14:00,Wellbeing Park,9,0,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Wythenshawe,Manchester City U21,2026-09-06 14:00,Avensure Community Stadium,3,3,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Lye Town,West Bromwich Albion,2026-09-06 14:00,Lye Town,2,6,https://wnl.thefa.com/fixtures
Barclays WSL,Football,WSL,England,Tier 1,Manchester City,Birmingham City,2026-09-06 14:30,-,3,1,https://en.wikipedia.org/wiki/2026%E2%80%9327_Women%27s_Super_League
The FA WNL Cup,Football,FAWNL Cup,England,,Chatham Town,Hashtag United,2026-09-06 14:30,The Bauvill Stadium,1,2,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Rugby Borough,Peterborough United,2026-09-06 15:00,Nationwide Windows Arena,7,0,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Chesterfield,Sheffield United U21,2026-09-06 15:00,SMH Group Stadium,3,1,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Actonians,Ascot United,2026-09-06 15:00,Bedfont Sports Club,13,1,https://wnl.thefa.com/fixtures
The FA WNL Cup,Football,FAWNL Cup,England,,Stevenage,Cambridge United,2026-09-06 15:00,Herts County Ground,5,0,https://wnl.thefa.com/fixtures
SWPL 1,Football,SWPL 1,Scotland,,Motherwell,Rangers,2026-09-06 16:00,The Bumblebee Stadium,0,3,https://swpl.uk/match-centre/swpl/
Adran Premier,Football,Adran Premier,Wales,,Swansea City,Cardiff City,2026-09-06 17:15,Garden Village Park,3,1,https://faw.cymru/adran-leagues/adran-premier/fixtures-and-results/
NWSL,Football,NWSL,USA,,Denver Summit,Gotham FC,2026-09-06 19:00,-,3,0,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Chicago Stars,North Carolina Courage,2026-09-06 21:00,-,0,6,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Portland Thorns,Washington Spirit,2026-09-06 21:00,-,1,2,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Orlando Pride,Houston Dash,2026-09-07 00:00,-,3,1,https://en.wikipedia.org/wiki/2026_NWSL_season
NWSL,Football,NWSL,USA,,Seattle Reign,San Diego Wave,2026-09-07 02:00,-,1,0,https://en.wikipedia.org/wiki/2026_NWSL_season
